SUBJECT,SOA,TASK,NUMBER,DURATION,MEAN_RT
23,100,SINGLE_TASK,LARGE,SHORT,441.186
23,100,SINGLE_TASK,SMALL,LONG,430.015
23,100,SINGLE_TASK,SMALL,SHORT,433.729
25,0,SINGLE_TASK,LARGE,LONG,618.803
25,0,SINGLE_TASK,LARGE,SHORT,655.042
25,0,SINGLE_TASK,SMALL,LONG,641.449
25,0,SINGLE_TASK,SMALL,SHORT,655.857
25,100,SINGLE_TASK,LARGE,LONG,618.435
25,100,SINGLE_TASK,LARGE,SHORT,669.059
25,100,SINGLE_TASK,SMALL,LONG,619.643
25,100,SINGLE_TASK,SMALL,SHORT,698.343
26,0,DUAL_TASK,LARGE,LONG,783
,0,DUAL_TASK,LARGE,SHORT,861.915
,0,DUAL_TASK,SMALL,LONG,826.493
,0,DUAL_TASK,SMALL,SHORT,889.817
,100,DUAL_TASK,LARGE,LONG,869.338
,100,DUAL_TASK,LARGE,SHORT,909.54
,100,DUAL_TASK,SMALL,LONG,863.544
,100,DUAL_TASK,SMALL,SHORT,938.222
,0,DUAL_TASK,LARGE,LONG,722.812
,0,DUAL_TASK,LARGE,SHORT,732.471
,0,DUAL_TASK,SMALL,LONG,686.746
,0,DUAL_TASK,SMALL,SHORT,867.338
,100,DUAL_TASK,LARGE,LONG,759.7
,100,DUAL_TASK,LARGE,SHORT,793.565
,100,DUAL_TASK,SMALL,LONG,750.014
,100,DUAL_TASK,SMALL,SHORT,883.652
,0,DUAL_TASK,LARGE,LONG,638.69
,0,DUAL_TASK,LARGE,SHORT,683.014
,0,DUAL_TASK,SMALL,LONG,647.514
,0,DUAL_TASK,SMALL,SHORT,702.292
,100,DUAL_TASK,LARGE,LONG,708.361
,100,DUAL_TASK,LARGE,SHORT,742.931
,100,DUAL_TASK,SMALL,LONG,659.845
,100,DUAL_TASK,SMALL,SHORT,733.901
,0,SINGLE_TASK,LARGE,LONG,468.129
,0,SINGLE_TASK,LARGE,SHORT,479.309
,0,SINGLE_TASK,SMALL,LONG,462.957
,0,SINGLE_TASK,SMALL,SHORT,489.957
,100,SINGLE_TASK,LARGE,LONG,468.042
,100,SINGLE_TASK,LARGE,SHORT,509.764
,100,SINGLE_TASK,SMALL,LONG,459.366
,100,SINGLE_TASK,SMALL,SHORT,511.456
,0,SINGLE_TASK,LARGE,LONG,530.279
,0,SINGLE_TASK,LARGE,SHORT,512.268
,0,SINGLE_TASK,SMALL,LONG,518.357
,0,SINGLE_TASK,SMALL,SHORT,555.25
,100,SINGLE_TASK,LARGE,LONG,511.986
,100,SINGLE_TASK,LARGE,SHORT,587.653
,100,SINGLE_TASK,SMALL,LONG,524.423
,100,SINGLE_TASK,SMALL,SHORT,590.929
,0,DUAL_TASK,LARGE,LONG,867.537
,0,DUAL_TASK,LARGE,SHORT,907.478
,0,DUAL_TASK,SMALL,LONG,886.299
,0,DUAL_TASK,SMALL,SHORT,860
,100,DUAL_TASK,LARGE,LONG,873.698
,100,DUAL_TASK,LARGE,SHORT,937.547
,100,DUAL_TASK,SMALL,LONG,903.691
,100,DUAL_TASK,SMALL,SHORT,942.812
,0,DUAL_TASK,LARGE,LONG,696.901
,0,DUAL_TASK,LARGE,SHORT,790.197
,0,DUAL_TASK,SMALL,LONG,670.4
,0,DUAL_TASK,SMALL,SHORT,716.232
,100,DUAL_TASK,LARGE,LONG,717.694
,100,DUAL_TASK,LARGE,SHORT,833.552
,100,DUAL_TASK,SMALL,LONG,732.157
,100,DUAL_TASK,SMALL,SHORT,798.826
,0,SINGLE_TASK,LARGE,LONG,543.042
,0,SINGLE_TASK,LARGE,SHORT,556.486
,0,SINGLE_TASK,SMALL,LONG,554.181
,0,SINGLE_TASK,SMALL,SHORT,584.592
,100,SINGLE_TASK,LARGE,LONG,570.386
,100,SINGLE_TASK,LARGE,SHORT,609.507
,100,SINGLE_TASK,SMALL,LONG,579.286
,100,SINGLE_TASK,SMALL,SHORT,610.731
,0,SINGLE_TASK,LARGE,LONG,565.915
,0,SINGLE_TASK,LARGE,SHORT,561.087
,0,SINGLE_TASK,SMALL,LONG,582.528
,0,SINGLE_TASK,SMALL,SHORT,592.147
,100,SINGLE_TASK,LARGE,LONG,579.471
,100,SINGLE_TASK,LARGE,SHORT,622.343
,100,SINGLE_TASK,SMALL,LONG,572.265
,100,SINGLE_TASK,SMALL,SHORT,638.188
,0,SINGLE_TASK,LARGE,LONG,533.125
,0,SINGLE_TASK,LARGE,SHORT,565.1
,0,SINGLE_TASK,SMALL,LONG,520.706
,0,SINGLE_TASK,SMALL,SHORT,574.507
,100,SINGLE_TASK,LARGE,LONG,536.493
,100,SINGLE_TASK,LARGE,SHORT,594.417
,100,SINGLE_TASK,SMALL,LONG,557.609
,100,SINGLE_TASK,SMALL,SHORT,600.186
,0,SINGLE_TASK,LARGE,LONG,458.282
,0,SINGLE_TASK,LARGE,SHORT,501.085
,0,SINGLE_TASK,SMALL,LONG,473.629
,0,SINGLE_TASK,SMALL,SHORT,531.014
,100,SINGLE_TASK,LARGE,LONG,492.847
,100,SINGLE_TASK,LARGE,SHORT,536.943
,100,SINGLE_TASK,SMALL,LONG,510.143
,100,SINGLE_TASK,SMALL,SHORT,569.362
,0,DUAL_TASK,LARGE,LONG,595.268
,0,DUAL_TASK,LARGE,SHORT,665.153
,0,DUAL_TASK,SMALL,LONG,635.347
,0,DUAL_TASK,SMALL,SHORT,666.443
,100,DUAL_TASK,LARGE,LONG,643.5
,100,DUAL_TASK,LARGE,SHORT,738.652
,100,DUAL_TASK,SMALL,LONG,685.735
,100,DUAL_TASK,SMALL,SHORT,704.914
,0,SINGLE_TASK,LARGE,LONG,599.592
,0,SINGLE_TASK,LARGE,SHORT,630.958
,0,SINGLE_TASK,SMALL,LONG,604.887
,0,SINGLE_TASK,SMALL,SHORT,654.5
,100,SINGLE_TASK,LARGE,LONG,631.551
,100,SINGLE_TASK,LARGE,SHORT,654.246
,100,SINGLE_TASK,SMALL,LONG,634.155
,100,SINGLE_TASK,SMALL,SHORT,683.145
