DATASET 2. Raw data of the DUAL TASK EXPERIMENT.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ExperimentName,Subject,AgeSubj,HandenesSubj,Procedure[Block],CueDur[Trial],RespExpTask1.CRESP[Trial],RespExpTask2.CRESP[Trial],RespTARGET.RT[Trial],SOA[Trial],Target[Trial],RespExpTask1_RESP_CORR,RespExpTask2_RESP_CORR
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,m,z,966,0,6,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,z,z,1108,100,2,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,m,z,733,0,7,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,m,z,789,100,6,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,m,m,664,100,7,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,m,m,671,0,7,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,z,m,675,100,3,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,m,m,548,0,8,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,z,z,640,100,2,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,m,z,1018,100,8,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,z,z,781,100,3,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,z,m,829,0,2,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,z,z,771,100,3,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,z,z,782,0,4,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,m,m,675,100,8,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,m,m,452,0,6,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,m,z,666,0,6,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,m,z,800,100,7,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,z,z,800,100,4,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,m,m,768,0,7,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,m,m,603,100,8,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,z,m,618,0,4,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,m,m,665,100,7,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,m,m,664,0,6,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,z,m,708,0,3,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,z,m,666,100,4,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,z,z,863,0,2,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,z,m,654,100,3,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,z,m,603,0,3,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,m,z,950,100,7,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,m,m,1025,100,6,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,m,z,710,0,8,space,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,z,z,960,0,4,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,m,m,650,0,8,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,z,m,832,0,2,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,z,m,839,100,2,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,m,m,1222,100,6,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,m,z,1022,0,8,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,z,z,668,100,4,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,z,z,700,0,3,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,m,z,782,0,6,m,z
