0.87 ,1
0.88 ,1
0.89 ,1
0.9 ,1
0.91 ,6
0.92 ,20
0.93 ,29
0.94 ,67
0.95 ,94
0.96 ,98
0.97 ,133
0.98 ,114
0.99 ,100
1 ,83
1.01 ,53
1.02 ,34
1.03 ,19
1.04 ,6
1.05 ,3
1.07 ,1
1.34 ,2
1.35 ,2
1.37 ,3
1.38 ,1
1.39 ,5
1.4 ,3
1.41 ,13
1.42 ,11
1.43 ,9
1.44 ,16
1.45 ,29
1.46 ,20
1.47 ,25
1.48 ,32
1.49 ,37
1.5 ,36
1.51 ,32
1.52 ,25
1.53 ,20
1.54 ,27
1.55 ,18
1.56 ,20
1.57 ,17
1.58 ,12
1.59 ,4
1.6 ,7
1.61 ,5
1.63 ,5
1.64 ,7
1.65 ,3
1.66 ,6
1.67 ,4
1.68 ,4
1.69 ,8
1.7 ,8
1.71 ,4
1.72 ,7
1.73 ,11
1.74 ,8
1.75 ,11
1.76 ,13
1.77 ,12
1.78 ,12
1.79 ,17
1.8 ,14
1.81 ,15
1.82 ,17
1.83 ,12
1.84 ,18
1.85 ,13
1.86 ,14
1.87 ,13
1.88 ,17
1.89 ,15
1.9 ,12
1.91 ,17
1.92 ,12
1.93 ,14
1.94 ,9
1.95 ,13
1.96 ,17
1.97 ,13
1.98 ,16
1.99 ,16
2 ,19
2.01 ,10
2.02 ,15
2.03 ,10
2.04 ,9
2.05 ,17
2.06 ,10
2.07 ,14
2.08 ,16
2.09 ,12
2.1 ,19
2.11 ,20
2.12 ,14
2.13 ,12
2.14 ,19
2.15 ,18
2.16 ,12
2.17 ,11
2.18 ,21
2.19 ,21
2.2 ,16
2.21 ,25
2.22 ,22
2.23 ,20
2.24 ,16
2.25 ,19
2.26 ,20
2.27 ,26
2.28 ,24
2.29 ,21
2.3 ,20
2.31 ,16
2.32 ,24
2.33 ,19
2.34 ,16
2.35 ,26
2.36 ,30
2.37 ,32
2.38 ,29
2.39 ,21
2.4 ,24
2.41 ,22
2.42 ,31
2.43 ,21
2.44 ,19
2.45 ,35
2.46 ,35
2.47 ,21
2.48 ,34
2.49 ,25
2.5 ,22
2.51 ,24
2.52 ,30
2.53 ,22
2.54 ,41
2.55 ,38
2.56 ,31
2.57 ,35
2.58 ,34
2.59 ,39
2.6 ,30
2.61 ,30
2.62 ,39
2.63 ,36
2.64 ,28
2.65 ,45
2.66 ,31
2.67 ,45
2.68 ,41
2.69 ,37
2.7 ,41
2.71 ,46
2.72 ,46
2.73 ,35
2.74 ,58
2.75 ,58
2.76 ,58
2.77 ,54
2.78 ,51
2.79 ,50
2.8 ,60
2.81 ,53
2.82 ,55
2.83 ,55
2.84 ,53
2.85 ,47
2.86 ,55
2.87 ,46
2.88 ,48
2.89 ,63
2.9 ,48
2.91 ,65
2.92 ,45
2.93 ,50
2.94 ,49
2.95 ,75
2.96 ,58
2.97 ,52
2.98 ,58
2.99 ,58
3 ,72
3.01 ,66
3.02 ,59
3.03 ,54
3.04 ,50
3.05 ,68
3.06 ,64
3.07 ,53
3.08 ,81
3.09 ,64
3.1 ,73
3.11 ,56
3.12 ,56
3.13 ,66
3.14 ,71
3.15 ,73
3.16 ,60
3.17 ,67
3.18 ,61
3.19 ,73
3.2 ,68
3.21 ,79
3.22 ,81
3.23 ,87
3.24 ,71
3.25 ,44
3.26 ,67
3.27 ,79
3.28 ,78
3.29 ,73
3.3 ,81
3.31 ,64
3.32 ,67
3.33 ,86
3.34 ,72
3.35 ,78
3.36 ,77
3.37 ,79
3.38 ,74
3.39 ,88
3.4 ,88
3.41 ,70
3.42 ,85
3.43 ,87
3.44 ,64
3.45 ,83
3.46 ,78
3.47 ,94
3.48 ,91
3.49 ,79
3.5 ,95
3.51 ,78
3.52 ,85
3.53 ,104
3.54 ,85
3.55 ,72
3.56 ,77
3.57 ,97
3.58 ,90
3.59 ,92
3.6 ,72
3.61 ,90
3.62 ,94
3.63 ,88
3.64 ,78
3.65 ,87
3.66 ,100
3.67 ,84
3.68 ,88
3.69 ,80
3.7 ,86
3.71 ,82
3.72 ,102
3.73 ,92
3.74 ,91
3.75 ,87
3.76 ,88
3.77 ,102
3.78 ,84
3.79 ,92
3.8 ,92
3.81 ,84
3.82 ,89
3.83 ,85
3.84 ,100
3.85 ,91
3.86 ,94
3.87 ,100
3.88 ,101
3.89 ,73
3.9 ,67
3.91 ,94
3.92 ,95
3.93 ,107
3.94 ,100
3.95 ,88
3.96 ,88
3.97 ,111
3.98 ,93
3.99 ,114
4 ,84
4.01 ,99
4.02 ,81
4.03 ,91
4.04 ,94
4.05 ,93
4.06 ,103
4.07 ,101
4.08 ,106
4.09 ,91
4.1 ,96
4.11 ,96
4.12 ,100
4.13 ,106
4.14 ,97
4.15 ,71
4.16 ,97
4.17 ,93
4.18 ,101
4.19 ,104
4.2 ,109
4.21 ,87
4.22 ,105
4.23 ,85
4.24 ,102
4.25 ,103
4.26 ,94
4.27 ,107
4.28 ,109
4.29 ,110
4.3 ,89
4.31 ,95
4.32 ,109
4.33 ,110
4.34 ,90
4.35 ,126
4.36 ,120
4.37 ,98
4.38 ,102
4.39 ,124
4.4 ,128
4.41 ,123
4.42 ,113
4.43 ,100
4.44 ,119
4.45 ,116
4.46 ,114
4.47 ,103
4.48 ,109
4.49 ,108
4.5 ,110
4.51 ,113
4.52 ,115
4.53 ,102
4.54 ,130
4.55 ,131
4.56 ,125
4.57 ,102
4.58 ,111
4.59 ,122
4.6 ,139
4.61 ,107
4.62 ,138
4.63 ,115
4.64 ,140
4.65 ,134
4.66 ,117
4.67 ,129
4.68 ,136
4.69 ,125
4.7 ,133
4.71 ,96
4.72 ,123
4.73 ,105
4.74 ,140
4.75 ,127
4.76 ,126
4.77 ,123
4.78 ,111
4.79 ,135
4.8 ,136
