TASK_NUMBER,ExperimentName,Subject,CueDur[Trial],RespTARGET.RT[Trial],CORRECT_NUMBER,SOA[Trial],DURATION,CORRECT_RESP
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,9,350,650,z,100,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,8,350,650,m,100,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,8,150,650,m,100,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,10,300,650,m,100,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,26,300,650,z,100,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,150,650,z,100,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,32,100,650,z,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,24,150,651,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,350,651,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,5,350,651,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,5,350,651,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,5,350,651,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,17,150,651,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,25,100,651,m,0,SHORT,1
